s,kg/m2,C,C
Time,"null","null","null"
 0.0000000E+000, 5.5689153E-003, 2.0000000E+001, 2.0000000E+001
 2.4000000E+001, 5.5688855E-003, 2.0420000E+001, 2.0328622E+001
 4.8000000E+001, 5.5688238E-003, 2.1220000E+001, 2.1126735E+001
 7.2000000E+001, 5.5687548E-003, 2.2020000E+001, 2.1926993E+001
 9.6000000E+001, 5.5686778E-003, 2.2820000E+001, 2.2727235E+001
 1.2000000E+002, 5.5685919E-003, 2.3620000E+001, 2.3527461E+001
 1.4400000E+002, 5.5684961E-003, 2.4420000E+001, 2.4327670E+001
 1.6800000E+002, 5.5683894E-003, 2.5220000E+001, 2.5127860E+001
 1.9200000E+002, 5.5682706E-003, 2.6020000E+001, 2.5928031E+001
 2.1600000E+002, 5.5681384E-003, 2.6820000E+001, 2.6728180E+001
 2.4000000E+002, 5.5679914E-003, 2.7620000E+001, 2.7528307E+001
 2.6400000E+002, 5.5678281E-003, 2.8420000E+001, 2.8328409E+001
 2.8800000E+002, 5.5676467E-003, 2.9220000E+001, 2.9128486E+001
 3.1200000E+002, 5.5674455E-003, 3.0020000E+001, 2.9928535E+001
 3.3600000E+002, 5.5672223E-003, 3.0820000E+001, 3.0728555E+001
 3.6000000E+002, 5.5669750E-003, 3.1620000E+001, 3.1528542E+001
 3.8400000E+002, 5.5667012E-003, 3.2420000E+001, 3.2328496E+001
 4.0800000E+002, 5.5663982E-003, 3.3220000E+001, 3.3128414E+001
 4.3200000E+002, 5.5660632E-003, 3.4020000E+001, 3.3928293E+001
 4.5600000E+002, 5.5656931E-003, 3.4820000E+001, 3.4728130E+001
 4.8000000E+002, 5.5652845E-003, 3.5620000E+001, 3.5527924E+001
 5.0400000E+002, 5.5648338E-003, 3.6420000E+001, 3.6327670E+001
 5.2800000E+002, 5.5643371E-003, 3.7220000E+001, 3.7127367E+001
 5.5200000E+002, 5.5637901E-003, 3.8020000E+001, 3.7927010E+001
 5.7600000E+002, 5.5631883E-003, 3.8820000E+001, 3.8726598E+001
 6.0000000E+002, 5.5625268E-003, 3.9620000E+001, 3.9526127E+001
 6.2400000E+002, 5.5618003E-003, 4.0420000E+001, 4.0325593E+001
 6.4800000E+002, 5.5610033E-003, 4.1220000E+001, 4.1124994E+001
 6.7200000E+002, 5.5601299E-003, 4.2020000E+001, 4.1924326E+001
 6.9600000E+002, 5.5591738E-003, 4.2820000E+001, 4.2723586E+001
 7.2000000E+002, 5.5581282E-003, 4.3620000E+001, 4.3522773E+001
 7.4400000E+002, 5.5569863E-003, 4.4420000E+001, 4.4321882E+001
 7.6800000E+002, 5.5557407E-003, 4.5220000E+001, 4.5120913E+001
 7.9200000E+002, 5.5543838E-003, 4.6020000E+001, 4.5919863E+001
 8.1600000E+002, 5.5529077E-003, 4.6820000E+001, 4.6718733E+001
 8.4000000E+002, 5.5513044E-003, 4.7620000E+001, 4.7517520E+001
 8.6400000E+002, 5.5495657E-003, 4.8420000E+001, 4.8316227E+001
 8.8800000E+002, 5.5476832E-003, 4.9220000E+001, 4.9114854E+001
 9.1200000E+002, 5.5456486E-003, 5.0020000E+001, 4.9913406E+001
 9.3600000E+002, 5.5434540E-003, 5.0820000E+001, 5.0711887E+001
 9.6000000E+002, 5.5410915E-003, 5.1620000E+001, 5.1510302E+001
 9.8400000E+002, 5.5385537E-003, 5.2420000E+001, 5.2308660E+001
 1.0080000E+003, 5.5358339E-003, 5.3220000E+001, 5.3106972E+001
 1.0320000E+003, 5.5329263E-003, 5.4020000E+001, 5.3905250E+001
 1.0560000E+003, 5.5298261E-003, 5.4820000E+001, 5.4703510E+001
 1.0800000E+003, 5.5265300E-003, 5.5620000E+001, 5.5501770E+001
 1.1040000E+003, 5.5230362E-003, 5.6420000E+001, 5.6300051E+001
 1.1280000E+003, 5.5193449E-003, 5.7220000E+001, 5.7098377E+001
 1.1520000E+003, 5.5154586E-003, 5.8020000E+001, 5.7896774E+001
 1.1760000E+003, 5.5113826E-003, 5.8820000E+001, 5.8695274E+001
 1.2000000E+003, 5.5071247E-003, 5.9620000E+001, 5.9493907E+001
 1.2240000E+003, 5.5026962E-003, 6.0420000E+001, 6.0292710E+001
 1.2480000E+003, 5.4981120E-003, 6.1220000E+001, 6.1091718E+001
 1.2720000E+003, 5.4933905E-003, 6.2020000E+001, 6.1890969E+001
 1.2960000E+003, 5.4885540E-003, 6.2820000E+001, 6.2690500E+001
 1.3200000E+003, 5.4836288E-003, 6.3620000E+001, 6.3490347E+001
 1.3440000E+003, 5.4786448E-003, 6.4420000E+001, 6.4290543E+001
 1.3680000E+003, 5.4736356E-003, 6.5220000E+001, 6.5091118E+001
 1.3920000E+003, 5.4686381E-003, 6.6020000E+001, 6.5892093E+001
 1.4160000E+003, 5.4636917E-003, 6.6820000E+001, 6.6693485E+001
 1.4400000E+003, 5.4588376E-003, 6.7620000E+001, 6.7495297E+001
 1.4640000E+003, 5.4541179E-003, 6.8420000E+001, 6.8297526E+001
 1.4880000E+003, 5.4495745E-003, 6.9220000E+001, 6.9100151E+001
 1.5120000E+003, 5.4452477E-003, 7.0020000E+001, 6.9903141E+001
 1.5360000E+003, 5.4411745E-003, 7.0820000E+001, 7.0706451E+001
 1.5600000E+003, 5.4373881E-003, 7.1620000E+001, 7.1510020E+001
 1.5840000E+003, 5.4339154E-003, 7.2420000E+001, 7.2313780E+001
 1.6080000E+003, 5.4307765E-003, 7.3220000E+001, 7.3117650E+001
 1.6320000E+003, 5.4279836E-003, 7.4020000E+001, 7.3921545E+001
 1.6560000E+003, 5.4255404E-003, 7.4820000E+001, 7.4725378E+001
 1.6800000E+003, 5.4234417E-003, 7.5620000E+001, 7.5529066E+001
 1.7040000E+003, 5.4216740E-003, 7.6420000E+001, 7.6332533E+001
 1.7280000E+003, 5.4202163E-003, 7.7220000E+001, 7.7135714E+001
 1.7520000E+003, 5.4190413E-003, 7.8020000E+001, 7.7938564E+001
 1.7760000E+003, 5.4181171E-003, 7.8820000E+001, 7.8741053E+001
 1.8000000E+003, 5.4174091E-003, 7.9620000E+001, 7.9543172E+001
 1.8240000E+003, 5.4168818E-003, 8.0420000E+001, 8.0344929E+001
 1.8480000E+003, 5.4165009E-003, 8.1220000E+001, 8.1146349E+001
 1.8720000E+003, 5.4162346E-003, 8.2020000E+001, 8.1947470E+001
 1.8960000E+003, 5.4160548E-003, 8.2820000E+001, 8.2748335E+001
 1.9200000E+003, 5.4159380E-003, 8.3620000E+001, 8.3548991E+001
 1.9440000E+003, 5.4158650E-003, 8.4420000E+001, 8.4349486E+001
 1.9680000E+003, 5.4158214E-003, 8.5220000E+001, 8.5149861E+001
 1.9920000E+003, 5.4157966E-003, 8.6020000E+001, 8.5950150E+001
 2.0160000E+003, 5.4157831E-003, 8.6820000E+001, 8.6750383E+001
 2.0400000E+003, 5.4157761E-003, 8.7620000E+001, 8.7550579E+001
 2.0640000E+003, 5.4157728E-003, 8.8420000E+001, 8.8350752E+001
 2.0880000E+003, 5.4157712E-003, 8.9220000E+001, 8.9150913E+001
 2.1120000E+003, 5.4157706E-003, 9.0020000E+001, 8.9951066E+001
 2.1360000E+003, 5.4157703E-003, 9.0820000E+001, 9.0751215E+001
 2.1600000E+003, 5.4157702E-003, 9.1620000E+001, 9.1551361E+001
 2.1840000E+003, 5.4157702E-003, 9.2420000E+001, 9.2351506E+001
 2.2080000E+003, 5.4157702E-003, 9.3220000E+001, 9.3151649E+001
 2.2320000E+003, 5.4157702E-003, 9.4020000E+001, 9.3951790E+001
 2.2560000E+003, 5.4157702E-003, 9.4820000E+001, 9.4751931E+001
 2.2800000E+003, 5.4157702E-003, 9.5620000E+001, 9.5552070E+001
 2.3040000E+003, 5.4157702E-003, 9.6420000E+001, 9.6352208E+001
 2.3280000E+003, 5.4157702E-003, 9.7220000E+001, 9.7152344E+001
 2.3520000E+003, 5.4157702E-003, 9.8020000E+001, 9.7952480E+001
 2.3760000E+003, 5.4157702E-003, 9.8820000E+001, 9.8752614E+001
 2.4000000E+003, 5.4157702E-003, 9.9620000E+001, 9.9552748E+001
 2.4240000E+003, 5.4157702E-003, 1.0042000E+002, 1.0035288E+002
 2.4480000E+003, 5.4157702E-003, 1.0122000E+002, 1.0115301E+002
 2.4720000E+003, 5.4157702E-003, 1.0202000E+002, 1.0195314E+002
 2.4960000E+003, 5.4157702E-003, 1.0282000E+002, 1.0275327E+002
 2.5200000E+003, 5.4157702E-003, 1.0362000E+002, 1.0355340E+002
 2.5440000E+003, 5.4157702E-003, 1.0442000E+002, 1.0435352E+002
 2.5680000E+003, 5.4157702E-003, 1.0522000E+002, 1.0515365E+002
 2.5920000E+003, 5.4157702E-003, 1.0602000E+002, 1.0595377E+002
 2.6160000E+003, 5.4157702E-003, 1.0682000E+002, 1.0675390E+002
 2.6400000E+003, 5.4157702E-003, 1.0762000E+002, 1.0755402E+002
 2.6640000E+003, 5.4157702E-003, 1.0842000E+002, 1.0835414E+002
 2.6880000E+003, 5.4157702E-003, 1.0922000E+002, 1.0915426E+002
 2.7120000E+003, 5.4157702E-003, 1.1002000E+002, 1.0995438E+002
 2.7360000E+003, 5.4157702E-003, 1.1082000E+002, 1.1075450E+002
 2.7600000E+003, 5.4157702E-003, 1.1162000E+002, 1.1155462E+002
 2.7840000E+003, 5.4157702E-003, 1.1242000E+002, 1.1235473E+002
 2.8080000E+003, 5.4157702E-003, 1.1322000E+002, 1.1315485E+002
 2.8320000E+003, 5.4157701E-003, 1.1402000E+002, 1.1395496E+002
 2.8560000E+003, 5.4157701E-003, 1.1482000E+002, 1.1475508E+002
 2.8800000E+003, 5.4157701E-003, 1.1562000E+002, 1.1555519E+002
 2.9040000E+003, 5.4157701E-003, 1.1642000E+002, 1.1635530E+002
 2.9280000E+003, 5.4157701E-003, 1.1722000E+002, 1.1715541E+002
 2.9520000E+003, 5.4157701E-003, 1.1802000E+002, 1.1795552E+002
 2.9760000E+003, 5.4157701E-003, 1.1882000E+002, 1.1875563E+002
 3.0000000E+003, 5.4157701E-003, 1.1962000E+002, 1.1955574E+002
 3.0240000E+003, 5.4157701E-003, 1.2042000E+002, 1.2035584E+002
 3.0480000E+003, 5.4157701E-003, 1.2122000E+002, 1.2115595E+002
 3.0720000E+003, 5.4157701E-003, 1.2202000E+002, 1.2195606E+002
 3.0960000E+003, 5.4157701E-003, 1.2282000E+002, 1.2275616E+002
 3.1200000E+003, 5.4157701E-003, 1.2362000E+002, 1.2355626E+002
 3.1440000E+003, 5.4157701E-003, 1.2442000E+002, 1.2435637E+002
 3.1680000E+003, 5.4157701E-003, 1.2522000E+002, 1.2515647E+002
 3.1920000E+003, 5.4157701E-003, 1.2602000E+002, 1.2595657E+002
 3.2160000E+003, 5.4157701E-003, 1.2682000E+002, 1.2675667E+002
 3.2400000E+003, 5.4157701E-003, 1.2762000E+002, 1.2755677E+002
 3.2640000E+003, 5.4157701E-003, 1.2842000E+002, 1.2835687E+002
 3.2880000E+003, 5.4157701E-003, 1.2922000E+002, 1.2915697E+002
 3.3120000E+003, 5.4157701E-003, 1.3002000E+002, 1.2995707E+002
 3.3360000E+003, 5.4157701E-003, 1.3082000E+002, 1.3075716E+002
 3.3600000E+003, 5.4157701E-003, 1.3162000E+002, 1.3155726E+002
 3.3840000E+003, 5.4157701E-003, 1.3242000E+002, 1.3235735E+002
 3.4080000E+003, 5.4157701E-003, 1.3322000E+002, 1.3315745E+002
 3.4320000E+003, 5.4157701E-003, 1.3402000E+002, 1.3395754E+002
 3.4560000E+003, 5.4157700E-003, 1.3482000E+002, 1.3475763E+002
 3.4800000E+003, 5.4157700E-003, 1.3562000E+002, 1.3555773E+002
 3.5040000E+003, 5.4157700E-003, 1.3642000E+002, 1.3635782E+002
 3.5280000E+003, 5.4157700E-003, 1.3722000E+002, 1.3715791E+002
 3.5520000E+003, 5.4157700E-003, 1.3802000E+002, 1.3795800E+002
 3.5760000E+003, 5.4157700E-003, 1.3882000E+002, 1.3875809E+002
 3.6000000E+003, 5.4157700E-003, 1.3962000E+002, 1.3955818E+002
 3.6240000E+003, 5.4157699E-003, 1.4042000E+002, 1.4035826E+002
 3.6480000E+003, 5.4157699E-003, 1.4122000E+002, 1.4115835E+002
 3.6720000E+003, 5.4157699E-003, 1.4202000E+002, 1.4195844E+002
 3.6960000E+003, 5.4157698E-003, 1.4282000E+002, 1.4275852E+002
 3.7200000E+003, 5.4157698E-003, 1.4362000E+002, 1.4355861E+002
 3.7440000E+003, 5.4157698E-003, 1.4442000E+002, 1.4435869E+002
 3.7680000E+003, 5.4157697E-003, 1.4522000E+002, 1.4515878E+002
 3.7920000E+003, 5.4157697E-003, 1.4602000E+002, 1.4595886E+002
 3.8160000E+003, 5.4157696E-003, 1.4682000E+002, 1.4675894E+002
 3.8400000E+003, 5.4157696E-003, 1.4762000E+002, 1.4755902E+002
 3.8640000E+003, 5.4157695E-003, 1.4842000E+002, 1.4835911E+002
 3.8880000E+003, 5.4157695E-003, 1.4922000E+002, 1.4915919E+002
 3.9120000E+003, 5.4157694E-003, 1.5002000E+002, 1.4995927E+002
 3.9360000E+003, 5.4157693E-003, 1.5082000E+002, 1.5075935E+002
 3.9600000E+003, 5.4157692E-003, 1.5162000E+002, 1.5155942E+002
 3.9840000E+003, 5.4157691E-003, 1.5242000E+002, 1.5235950E+002
 4.0080000E+003, 5.4157690E-003, 1.5322000E+002, 1.5315958E+002
 4.0320000E+003, 5.4157689E-003, 1.5402000E+002, 1.5395966E+002
 4.0560000E+003, 5.4157688E-003, 1.5482000E+002, 1.5475973E+002
 4.0800000E+003, 5.4157687E-003, 1.5562000E+002, 1.5555981E+002
 4.1040000E+003, 5.4157685E-003, 1.5642000E+002, 1.5635989E+002
 4.1280000E+003, 5.4157684E-003, 1.5722000E+002, 1.5715996E+002
 4.1520000E+003, 5.4157682E-003, 1.5802000E+002, 1.5796004E+002
 4.1760000E+003, 5.4157680E-003, 1.5882000E+002, 1.5876011E+002
 4.2000000E+003, 5.4157678E-003, 1.5962000E+002, 1.5956018E+002
 4.2240000E+003, 5.4157676E-003, 1.6042000E+002, 1.6036026E+002
 4.2480000E+003, 5.4157673E-003, 1.6122000E+002, 1.6116033E+002
 4.2720000E+003, 5.4157670E-003, 1.6202000E+002, 1.6196040E+002
 4.2960000E+003, 5.4157667E-003, 1.6282000E+002, 1.6276047E+002
 4.3200000E+003, 5.4157664E-003, 1.6362000E+002, 1.6356054E+002
 4.3440000E+003, 5.4157660E-003, 1.6442000E+002, 1.6436061E+002
 4.3680000E+003, 5.4157656E-003, 1.6522000E+002, 1.6516068E+002
 4.3920000E+003, 5.4157652E-003, 1.6602000E+002, 1.6596075E+002
 4.4160000E+003, 5.4157647E-003, 1.6682000E+002, 1.6676082E+002
 4.4400000E+003, 5.4157642E-003, 1.6762000E+002, 1.6756089E+002
 4.4640000E+003, 5.4157637E-003, 1.6842000E+002, 1.6836095E+002
 4.4880000E+003, 5.4157630E-003, 1.6922000E+002, 1.6916102E+002
 4.5120000E+003, 5.4157624E-003, 1.7002000E+002, 1.6996109E+002
 4.5360000E+003, 5.4157616E-003, 1.7082000E+002, 1.7076115E+002
 4.5600000E+003, 5.4157609E-003, 1.7162000E+002, 1.7156122E+002
 4.5840000E+003, 5.4157600E-003, 1.7242000E+002, 1.7236128E+002
 4.6080000E+003, 5.4157591E-003, 1.7322000E+002, 1.7316135E+002
 4.6320000E+003, 5.4157580E-003, 1.7402000E+002, 1.7396141E+002
 4.6560000E+003, 5.4157569E-003, 1.7482000E+002, 1.7476148E+002
 4.6800000E+003, 5.4157557E-003, 1.7562000E+002, 1.7556154E+002
 4.7040000E+003, 5.4157544E-003, 1.7642000E+002, 1.7636160E+002
 4.7280000E+003, 5.4157530E-003, 1.7722000E+002, 1.7716167E+002
 4.7520000E+003, 5.4157514E-003, 1.7802000E+002, 1.7796173E+002
 4.7760000E+003, 5.4157498E-003, 1.7882000E+002, 1.7876179E+002
 4.8000000E+003, 5.4157479E-003, 1.7962000E+002, 1.7956185E+002
 4.8240000E+003, 5.4157459E-003, 1.8042000E+002, 1.8036191E+002
 4.8480000E+003, 5.4157438E-003, 1.8122000E+002, 1.8116197E+002
 4.8720000E+003, 5.4157415E-003, 1.8202000E+002, 1.8196203E+002
 4.8960000E+003, 5.4157389E-003, 1.8282000E+002, 1.8276209E+002
 4.9200000E+003, 5.4157362E-003, 1.8362000E+002, 1.8356215E+002
 4.9440000E+003, 5.4157332E-003, 1.8442000E+002, 1.8436221E+002
 4.9680000E+003, 5.4157300E-003, 1.8522000E+002, 1.8516226E+002
 4.9920000E+003, 5.4157265E-003, 1.8602000E+002, 1.8596232E+002
 5.0160000E+003, 5.4157227E-003, 1.8682000E+002, 1.8676238E+002
 5.0400000E+003, 5.4157186E-003, 1.8762000E+002, 1.8756244E+002
 5.0640000E+003, 5.4157141E-003, 1.8842000E+002, 1.8836249E+002
 5.0880000E+003, 5.4157093E-003, 1.8922000E+002, 1.8916255E+002
 5.1120000E+003, 5.4157041E-003, 1.9002000E+002, 1.8996260E+002
 5.1360000E+003, 5.4156985E-003, 1.9082000E+002, 1.9076266E+002
 5.1600000E+003, 5.4156924E-003, 1.9162000E+002, 1.9156271E+002
 5.1840000E+003, 5.4156859E-003, 1.9242000E+002, 1.9236277E+002
 5.2080000E+003, 5.4156788E-003, 1.9322000E+002, 1.9316282E+002
 5.2320000E+003, 5.4156711E-003, 1.9402000E+002, 1.9396288E+002
 5.2560000E+003, 5.4156628E-003, 1.9482000E+002, 1.9476293E+002
 5.2800000E+003, 5.4156538E-003, 1.9562000E+002, 1.9556298E+002
 5.3040000E+003, 5.4156442E-003, 1.9642000E+002, 1.9636304E+002
 5.3280000E+003, 5.4156337E-003, 1.9722000E+002, 1.9716309E+002
 5.3520000E+003, 5.4156224E-003, 1.9802000E+002, 1.9796314E+002
 5.3760000E+003, 5.4156103E-003, 1.9882000E+002, 1.9876319E+002
 5.4000000E+003, 5.4155972E-003, 1.9962000E+002, 1.9956324E+002
 5.4240000E+003, 5.4155831E-003, 2.0042000E+002, 2.0036329E+002
 5.4480000E+003, 5.4155678E-003, 2.0122000E+002, 2.0116334E+002
 5.4720000E+003, 5.4155514E-003, 2.0202000E+002, 2.0196339E+002
 5.4960000E+003, 5.4155337E-003, 2.0282000E+002, 2.0276344E+002
 5.5200000E+003, 5.4155147E-003, 2.0362000E+002, 2.0356349E+002
 5.5440000E+003, 5.4154941E-003, 2.0442000E+002, 2.0436354E+002
 5.5680000E+003, 5.4154720E-003, 2.0522000E+002, 2.0516359E+002
 5.5920000E+003, 5.4154482E-003, 2.0602000E+002, 2.0596364E+002
 5.6160000E+003, 5.4154227E-003, 2.0682000E+002, 2.0676368E+002
 5.6400000E+003, 5.4153951E-003, 2.0762000E+002, 2.0756373E+002
 5.6640000E+003, 5.4153655E-003, 2.0842000E+002, 2.0836378E+002
 5.6880000E+003, 5.4153337E-003, 2.0922000E+002, 2.0916382E+002
 5.7120000E+003, 5.4152994E-003, 2.1002000E+002, 2.0996387E+002
 5.7360000E+003, 5.4152626E-003, 2.1082000E+002, 2.1076392E+002
 5.7600000E+003, 5.4152231E-003, 2.1162000E+002, 2.1156396E+002
 5.7840000E+003, 5.4151806E-003, 2.1242000E+002, 2.1236401E+002
 5.8080000E+003, 5.4151350E-003, 2.1322000E+002, 2.1316405E+002
 5.8320000E+003, 5.4150860E-003, 2.1402000E+002, 2.1396410E+002
 5.8560000E+003, 5.4150334E-003, 2.1482000E+002, 2.1476414E+002
 5.8800000E+003, 5.4149769E-003, 2.1562000E+002, 2.1556418E+002
 5.9040000E+003, 5.4149164E-003, 2.1642000E+002, 2.1636423E+002
 5.9280000E+003, 5.4148514E-003, 2.1722000E+002, 2.1716427E+002
 5.9520000E+003, 5.4147817E-003, 2.1802000E+002, 2.1796431E+002
